issue_id,severity,route/flow,role,source revision,reproduction,evidence,expected,actual,root cause,fix scope,verification,status
BACKEND-HEALTH-001,BLOCKER,all API-backed native routes,all roles,local-worktree:8e843a6b0a28+949fcf9da6d4,Launch the current DevTools develop build before starting a matching local acceptance API,environment-health.json + route-runtime-health.json,"Configured local origin is listening, current schema is loaded, and protected routes have a valid session",The first diagnostic sweep targeted http://127.0.0.1:18080 with no listener; the unrelated API on 3100 used an older cisme database and had the order gate off,"Runtime/configuration mismatch, not slow page rendering: no backend existed at the configured origin, and no authenticated session existed","Isolated loopback-only acceptance runner on cisme_test schema 34, synthetic fixtures, real Account-page dev login, and preflight assertions",ready/legal/order boundary pass; session persisted; all 27 routes settled with loading=false and empty error,FIXED_RETESTED_LOCAL_SYNTHETIC
EVIDENCE-001,MAJOR,all native routes,reviewer,local-worktree:8e843a6b0a28+949fcf9da6d4,Use wechatide simulator_screenshot after authenticated health preflight,routes.csv + contact-sheets/healthy-routes.png,Raw native frame for every reachable route,The earlier diagnostic pack was unauthenticated and one-second capture caught transitional/error states; the healthy pack uses route-specific success queries after API/session preflight,Missing health gate and insufficient stability window in the earlier capture procedure,"Require environment/session preflight, one clean bridge recovery, route-specific queries, four-second stability, then loading/error assertions",27/27 current-source success-state native frames captured at 484×1048; state/interaction/device matrices remain open,FIXED_RETESTED
REMOTE-HTTPS-001,BLOCKER,staging request path,all roles,local-worktree:8e843a6b0a28+949fcf9da6d4,TLS handshake with correct staging-api.cisme.cn SNI,existing deployment report,Valid certificate and HTTP response on normal DNS+SNI path,Correct SNI closes unexpectedly; direct-IP diagnostic is not normal-path proof,Remote listener/vhost/runtime not inspectable without bounded staging channel,Exact staging-only TAT/SSH bootstrap and layered diagnosis,No new remote action in this batch,OPEN
DEVICE-IOS-001,MAJOR,cross-route iOS acceptance,all roles,local-worktree:8e843a6b0a28+949fcf9da6d4,Run current source on representative iPhone + 4G,routes.csv,"Current-source login, keyboard, safe area, weak-network and core-flow evidence",No current-source iOS page frames or interactions,Requires physical device and user permission actions,Owner-assisted device session with synthetic account,0 device sessions,BLOCKED_OWNER_ASSISTED_CAPTURE
DEVICE-ANDROID-001,MAJOR,cross-route Android acceptance,all roles,local-worktree:8e843a6b0a28+949fcf9da6d4,Run current source on representative Android + 4G,routes.csv,"Current-source typography, keyboard, safe area, permission and core-flow evidence",No current-source Android page frames or interactions,Requires physical device and user permission actions,Owner-assisted device session with synthetic account,0 device sessions,BLOCKED_OWNER_ASSISTED_CAPTURE
R4B-POLICY-001,MAJOR,quote and checkout,buyer,local-worktree:8e843a6b0a28+949fcf9da6d4,Create quote for eligible synthetic product,commerce order integration tests,Approved member-price/freight rules determine authority totals,"Synthetic base price, zero discount and zero freight only",Owner business policies are intentionally not invented,Keep order flow nonproduction-only until policies are approved,Server-authoritative synthetic calculations pass,BLOCKED_BUSINESS_POLICY
R4B-PAY-001,BLOCKER,pending-payment to payment,buyer/operator,local-worktree:8e843a6b0a28+949fcf9da6d4,Open a newly created pending-payment order,order detail source + tests,Real provider intent/notification/query/close state machine after separate approval,paymentAvailable=false; no requestPayment or paid route,WeChat Pay onboarding is IN_PROGRESS and real funds are not authorized,Independent payment slice after account evidence and funds-test authorization,No simulated success surface exists,IN_PROGRESS_EXTERNAL
MEDIA-PRODUCT-001,MAJOR,mobile product image operations,catalog operator,local-worktree:8e843a6b0a28+949fcf9da6d4,Edit a product from management-product,management product source,Authorized operator can safely upload/replace public product media,Only packaged allowlisted static JPG selection exists,COS/direct-upload gate and product-media lifecycle are not complete,Separate product-media purpose/object/verification/cleanup slice,Static image path is fail-closed; no fake upload,OPEN
UX-CURRENT-001,MAJOR,representative pages and shared components,all roles,local-worktree:8e843a6b0a28+949fcf9da6d4,Review home/profile/support/product/management-product and R4-B pages at 375/393/440 widths,contact-sheets/healthy-routes.png,No blocking overflow/contrast/touch/keyboard defects on current source,"27 authenticated or public success-state 484×1048 native frames now show real synthetic content and settled UI; keyboard, error/long-copy, responsive and physical-device matrices are not captured","A single simulator success baseline cannot validate interaction, accessibility or responsive variants",Add success/error/long-copy/keyboard interaction rows at required viewports and perform iOS/Android sessions,Healthy current-source baseline captured and visually reviewed; full visual acceptance remains blocked,HEALTHY_BASELINE_CAPTURED_REVIEW_OPEN
C01,CRITICAL,user and operator support,member and support operator,local-worktree:8e843a6b0a28+949fcf9da6d4,Interleave unseen server sequence 101 with local ACK 102 and exercise duplicate reverse boundary and retained-history pages,tests/unit/support-thread-state.test.ts + interaction-evidence.json,ACK cannot advance the incremental server watermark past an unseen message,Shared state machine separates server cursor seen sequence visible read state and draft status,Two page copies previously advanced one latest cursor for different meanings,Shared support-thread reducer plus ownership and poll guards,Unit state/page regressions and native failure/history sequences pass,FIXED_RETESTED
