route,view_state,role,data_state,evidence,status,remaining_gate
pages/home/index,default,guest or authenticated member,authenticated synthetic member,screenshots/raw/pages__home__index.png,CURRENT_DEFAULT_CAPTURED,guest plus due overdue paused completed and cycle-ended native states
pages/records/index,default,authenticated member,authenticated synthetic member,screenshots/raw/pages__records__index.png,CURRENT_DEFAULT_CAPTURED,legacy-detail-missing and each care milestone native states
pages/community/index,default,guest or authenticated member,public synthetic content,screenshots/raw/pages__community__index.png,CURRENT_DEFAULT_CAPTURED,empty failure governance and publish substates
pages/profile/index,default,authenticated member,synthetic member plus management entry,screenshots/raw/pages__profile__index.png,CURRENT_DEFAULT_CAPTURED,long nickname separate unread and compact viewport
pages/account/index,login continuation,guest,explicit local consent login completed,screenshots/raw/pages__account__index.png,CURRENT_DEFAULT_CAPTURED,decline agreement-update and real wx.login
pages/task/index,task detail,authenticated member,synthetic eligible task,screenshots/raw/pages__task__index.png,CURRENT_DEFAULT_CAPTURED,ineligible expired and long requirements
pages/submit/index,submission form,authenticated member,synthetic draft,screenshots/raw/pages__submit__index.png,CURRENT_DEFAULT_CAPTURED,media off licensing errors segmented save and keyboard
pages/progress/index,submission progress,authenticated member,synthetic draft state,screenshots/raw/pages__progress__index.png,CURRENT_DEFAULT_CAPTURED,all server statuses failure and unknown status
pages/points/index,ledger,authenticated member,synthetic ledger,screenshots/raw/pages__points__index.png,CURRENT_DEFAULT_CAPTURED,empty frozen pending and pagination
pages/post/index,post reading,guest or authenticated member,synthetic published post,screenshots/raw/pages__post__index.png,CURRENT_DEFAULT_CAPTURED,removed hidden failure long copy and interaction states
pages/shop/index,catalog,guest or authenticated member,synthetic eligible product,screenshots/raw/pages__shop__index.png,CURRENT_DEFAULT_CAPTURED,zero two many sold-out and long-name products
pages/product/index,product detail,guest or authenticated member,synthetic product and SKU,screenshots/raw/pages__product__index.png,CURRENT_DEFAULT_CAPTURED,SKU sheet sold-out long media and rules states
pages/checkout/index,checkout entry,authenticated member,synthetic address and product,screenshots/raw/pages__checkout__index.png,CURRENT_DEFAULT_CAPTURED,price-change submit failure and weak-network states
pages/orders/index,order list,authenticated member,synthetic pending order,screenshots/raw/pages__orders__index.png,CURRENT_DEFAULT_CAPTURED,filters empty failure pagination and return position
pages/order-detail/index,order detail,authenticated member,synthetic pending order,screenshots/raw/pages__order-detail__index.png,CURRENT_DEFAULT_CAPTURED,cancel confirmation conflict and future payment fulfillment states
pages/settings/index,settings,authenticated member,synthetic member,screenshots/raw/pages__settings__index.png,CURRENT_DEFAULT_CAPTURED,address add edit default paste conflict and logout confirmation native matrix
pages/invite/index,invite,authenticated member,synthetic invite,screenshots/raw/pages__invite__index.png,CURRENT_DEFAULT_CAPTURED,failure expiry and receiver route
pages/legal/index,privacy text,guest or authenticated member,synthetic test legal text,screenshots/raw/pages__legal__index.png,CURRENT_DEFAULT_CAPTURED,terms update long text failure and signed enterprise copy
pages/privacy-rights/index,rights entry,authenticated member,synthetic default state,screenshots/raw/pages__privacy-rights__index.png,CURRENT_DEFAULT_CAPTURED,request scope submit progress failure and actual fulfillment
