route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__home__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:34:57.718Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/records/index,,记录,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__records__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:35:08.184Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community/index,,社区,基础与其他现有页面,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__community__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:35:18.397Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/profile/index,,我的,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__profile__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:35:29.080Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/account/index,intent=login,登录,基础与其他现有页面,guest,authenticated local identity continuation state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__account__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:35:39.749Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/task/index,id=3fdd83b1-3d0b-4434-be14-12880c1f02fb,投稿邀请,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__task__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:35:50.097Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/submit/index,id=55504a90-95cc-48ca-8f1c-5b1e3bab4e4a,提交护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__submit__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:36:00.465Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/progress/index,id=55504a90-95cc-48ca-8f1c-5b1e3bab4e4a,投稿进度,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__progress__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:36:10.848Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/points/index,,积分账,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__points__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:36:21.381Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/post/index,id=brand-scalp-ritual,护理故事,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__post__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:36:31.747Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/shop/index,,护理商品,商城用户端,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 35; no production data,screenshots/raw/pages__shop__index.png,local-worktree:2d1104d0f88c+4e551cc6c415,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-12T09:36:42.364Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
