route,query,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,,护理,基础与其他现有页面,guest or authenticated user,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__home__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:26:27.345Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/records/index,,记录,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__records__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:26:37.943Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/community/index,,社区,基础与其他现有页面,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__community__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:26:48.527Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/profile/index,,我的,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__profile__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:26:59.043Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/account/index,intent=login,登录,基础与其他现有页面,guest,authenticated local identity continuation state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__account__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:27:09.579Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/task/index,id=ef0eeadc-f9a0-4264-b035-bfcb8d62e231,投稿邀请,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__task__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:27:20.044Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/submit/index,id=8c701a6e-a776-4d02-9449-1284d4669584,提交护理故事,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__submit__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:27:30.529Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/progress/index,id=8c701a6e-a776-4d02-9449-1284d4669584,投稿进度,基础与其他现有页面,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__progress__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:27:41.533Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/points/index,,积分账,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__points__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:27:51.810Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/post/index,id=brand-scalp-ritual,护理故事,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__post__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:28:01.944Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/shop/index,,护理商品,商城用户端,guest or authenticated user,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__shop__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:28:12.344Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/product/index,id=synthetic-acceptance-serum,商品详情,商城用户端,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__product__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:28:22.511Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/checkout/index,product=synthetic-acceptance-serum&sku=fa5a71f4-d801-44e7-8a4b-6de8b0d77ad8&quantity=1,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__checkout__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:28:32.811Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/orders/index,,,商城订单用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__orders__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:28:43.294Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/order-detail/index,id=83a5e463-8bbe-4145-a042-1721e08309c4,,商城订单用户端,authenticated user or member,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__order-detail__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:28:53.411Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/settings/index,,设置与许可,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__settings__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:29:03.713Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/invite/index,,邀请与分享,基础与其他现有页面,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__invite__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:29:14.378Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/legal/index,type=privacy,,基础与其他现有页面,guest or authenticated user,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__legal__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:29:24.528Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/privacy-rights/index,,,基础与其他现有页面,authenticated user or member,healthy public synthetic/default state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__privacy-rights__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:29:34.911Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/support/index,,,客服用户端,authenticated user or member,authenticated synthetic member state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__support__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:29:45.277Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:29:55.477Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-catalog/index,,,商品管理/管理入口,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-catalog__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:30:05.911Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-product/index,id=82494a08-dee7-4e1e-a582-1da0c877ea61,,商品管理/管理入口,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-product__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:30:15.977Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-orders/index,,,订单管理,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-orders__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:30:26.578Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-order-detail/index,id=83a5e463-8bbe-4145-a042-1721e08309c4,,订单管理,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-order-detail__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:30:36.994Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support/index,,,客服管理端,capability administrator,capability-authorized synthetic management state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-support__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:30:47.512Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
pages/management-support-chat/index,id=23310931-0473-4dc8-bd14-9fc2c28cac66,,客服管理端,capability administrator,route-specific synthetic success state,native WeChat DevTools + local/synthetic boundary,Isolated cisme_test fixture; schema 34; no production data,screenshots/raw/pages__management-support-chat__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:30:57.794Z,HEALTHY_RUNTIME_FRAME_CAPTURED_REVIEW_OPEN,API/session/runtime health passed; visual interaction and physical-device matrices remain open
