route,page title,group,role,state,environment,fixture,screenshot path,source revision,device/simulator,WeChat/base-library/tool version,capture time,verification status,missing reason
pages/home/index,护理,基础与其他现有页面,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__home__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:02:34.329Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/records/index,记录,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__records__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:02:41.746Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/community/index,社区,基础与其他现有页面,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__community__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:02:49.297Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/profile/index,我的,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__profile__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:02:56.930Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/account/index,登录,基础与其他现有页面,guest,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__account__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:04.446Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/task/index,投稿邀请,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__task__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:12.096Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/submit/index,提交护理故事,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__submit__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:19.530Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/progress/index,投稿进度,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__progress__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:27.213Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/points/index,积分账,基础与其他现有页面,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__points__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:34.764Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/post/index,护理故事,基础与其他现有页面,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__post__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:42.331Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/shop/index,护理商品,商城用户端,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__shop__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:49.941Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/product/index,商品详情,商城用户端,guest or authenticated user,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__product__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:03:57.396Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/checkout/index,,商城订单用户端,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__checkout__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:04.896Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/orders/index,,商城订单用户端,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__orders__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:12.348Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
pages/order-detail/index,,商城订单用户端,authenticated user or member,default entry state,native WeChat DevTools + local/synthetic boundary,No production data; authenticated fixture pending,screenshots/raw/pages__order-detail__index.png,local-worktree:3b9bca10f2f7+7f5fad5fe84c,WeChat DevTools simulator,AppID wx4eac2d4fb11d299b; base library 3.15.2; wechatide 0.3.9,2026-09-11T12:04:19.830Z,CAPTURED_NOT_VISUALLY_ACCEPTED,Default native frame captured; success/role/error/interaction/device matrices still required
